# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.2, log = 2, nruns = 30, re-insertion = True
# Best result: 273, duration = 38.49707680700021 BDC
# avg: 287.76666666666665, avg duration = 40.4787518289667
# iteration No., bc value, bdc value, duration
0,393,294,44.49651635200007
1,405,285,45.74313272600011
2,408,297,48.66327592300013
3,390,273,38.49707680700021
4,393,273,40.64266879700017
5,388,277,41.781548988000395
6,377,299,42.030334651999965
7,324,313,46.81037086900005
8,402,277,46.2563945400002
9,385,318,41.92269368799998
10,334,275,43.00971658499975
11,364,282,44.30496406900011
12,400,282,46.09669156200016
13,382,276,39.040353393999794
14,377,287,41.127014627000335
15,386,276,42.54437432299983
16,333,312,47.468010144000345
17,339,289,42.41809382499969
18,392,277,42.31894138299958
19,384,291,40.64416169700007
20,398,285,39.76212025399991
21,379,283,38.88810731300009
22,338,293,43.238572879
23,329,293,38.60690032299999
24,387,274,32.63931707000029
25,338,290,31.872358318999886
26,312,277,31.969627585000126
27,413,293,31.495449695999923
28,396,290,30.055968565000057
29,403,302,30.017797913999857
