# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 0.4, gamma = 2, nruns = 30, re-insertion = True
# Best result: 222, duration = 9.27222946099937 # avg: 226.5, avg duration = 8.5769363530327
# run No., objective function value, duration
0,224,9.199628556998505
1,227,9.431691218000196
2,224,9.376003670004138
3,228,9.184750341999461
4,225,9.428972427005647
5,222,9.27222946099937
6,226,8.941990147999604
7,227,9.371245155001816
8,226,9.377709297994443
9,228,8.87455433300056
10,228,8.946427522001613
11,227,9.31345410499489
12,227,9.155450220001512
13,232,9.319284041004721
14,225,9.101982205997047
15,225,9.164128445998358
16,224,8.632247346999065
17,227,8.923510043998249
18,228,8.75593515500077
19,225,8.51200340899959
20,227,8.900650789997599
21,224,9.534922515995277
22,225,9.048165346997848
23,230,8.532810489996336
24,224,6.676376285002334
25,232,6.785205945998314
26,223,6.687631121996674
27,233,6.731362145997991
28,223,6.304560550001042
29,229,5.8232082949980395
