# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.8, gamma = 2, nruns = 30, re-insertion = True
# Best result: 128, duration = 6.365952257998288 # avg: 135.46666666666667, avg duration = 6.474572445532976
# run No., objective function value, duration
0,139,7.4279615720006404
1,137,7.215839316999336
2,141,7.39349953099736
3,133,6.081245896999462
4,141,7.367405128003156
5,139,7.091392338999867
6,138,7.2626738300023135
7,137,7.26320175499859
8,140,6.811492254000768
9,129,6.039730763997795
10,134,7.166372403997229
11,138,6.567701293999562
12,133,7.376063199000782
13,130,6.258456919000309
14,133,6.445432799999253
15,131,6.152825245997519
16,128,6.365952257998288
17,137,6.65371075299845
18,139,7.582856887001981
19,133,6.823562199999287
20,140,7.398796102999768
21,131,6.565586396998697
22,135,6.873429316998227
23,132,6.6153263120031625
24,137,5.596402333001606
25,140,5.396134639002412
26,132,4.8860491899977205
27,130,4.838018587997794
28,136,4.351710773000377
29,141,4.368343366997578
