# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 0.2, gamma = 2, nruns = 30, re-insertion = True
# Best result: 1331, duration = 260.5026387229991 # avg: 1401.2, avg duration = 313.6376070733329
# run No., objective function value, duration
0,1430,342.1234416769985
1,1410,340.6768257190015
2,1432,348.92094604799786
3,1392,347.88918320299854
4,1360,354.97819260899996
5,1432,338.92622946900156
6,1371,355.6303804550007
7,1342,336.6673666889983
8,1405,355.9490479729975
9,1416,287.41194059600093
10,1355,338.51492790200064
11,1421,339.7193987399987
12,1399,347.68850939500044
13,1373,334.6344683260031
14,1396,339.48165617999985
15,1432,333.114576562999
16,1331,260.5026387229991
17,1422,327.95902131299954
18,1428,339.49389260799944
19,1395,339.3966065529967
20,1397,332.9508111519972
21,1441,333.7240458010019
22,1415,325.9857589810017
23,1406,332.64730182199855
24,1422,270.4723417310015
25,1398,219.89663631899748
26,1411,225.6402298159992
27,1422,211.50420078400202
28,1432,222.39809496199814
29,1350,224.22954009099703
