# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.4, gamma = 1, nruns = 30, re-insertion = True
# Best result: 268, duration = 3.1940588579745963 # avg: 293.6333333333333, avg duration = 3.417180737597907
# run No., objective function value, duration
0,276,3.211806778999744
1,269,3.2335894429998007
2,291,3.3819873640022706
3,294,3.326793832995463
4,283,3.2345243679883424
5,299,3.288094159011962
6,303,3.2441873909847345
7,323,3.201687684020726
8,278,3.1608648779802024
9,287,3.4563985699787736
10,300,3.747276606998639
11,293,3.408745630993508
12,278,3.589535272010835
13,268,3.1940588579745963
14,285,3.651685485994676
15,298,3.3753781690029427
16,298,3.4857247569889296
17,332,3.6798645030066837
18,277,3.440287455014186
19,280,3.333088918006979
20,300,3.243531488988083
21,286,3.5115111630002502
22,317,3.2965031060157344
23,296,3.5828985249972902
24,276,3.3670947780192364
25,273,3.603870847990038
26,300,3.667632793978555
27,306,3.6561210509971716
28,290,3.399421693990007
29,353,3.5412565550068393
