# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.4, gamma = 2, nruns = 30, re-insertion = True
# Best result: 126, duration = 3.014266409998527 # avg: 130.8, avg duration = 2.9675337699688193
# run No., objective function value, duration
0,133,2.8384998989931773
1,132,3.0285021380113903
2,133,2.9370166700100526
3,134,2.894540412002243
4,128,3.0498847650014795
5,129,2.945780387992272
6,131,2.9900053910096176
7,131,3.0379154380061664
8,133,3.0438558690075297
9,134,3.0603349859884474
10,127,2.840536472009262
11,128,2.949240721995011
12,131,3.0924540769774467
13,135,3.001059661997715
14,132,3.0380167300172616
15,130,3.0778888640052173
16,134,3.0996856589918025
17,130,2.9080595260020345
18,128,2.9512173240073025
19,134,2.9404596149979625
20,130,2.9241578280052636
21,126,3.014266409998527
22,127,2.9222787210019305
23,128,2.98210222000489
24,130,3.0057032510230783
25,133,2.822589343006257
26,129,2.750940236990573
27,128,3.018873722990975
28,131,2.9282416510104667
29,135,2.931905108009232
