# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 263, duration = 5.867368638999324 BDC
# avg: 275.43333333333334, avg duration = 5.871586616866504
# iteration No., bc value, bdc value, duration
0,385,328,6.323080215999653
1,334,281,5.802597470999899
2,393,270,6.136335903000145
3,398,268,5.893622864998179
4,373,289,5.588180751001346
5,358,281,5.4819379879991175
6,396,268,5.855038503999822
7,327,269,5.685209590999875
8,357,266,6.175948946001881
9,415,271,5.753493677002552
10,318,271,6.080780677999428
11,398,272,5.864763753997977
12,394,279,5.8495755000003555
13,334,271,5.994862366002053
14,377,264,5.903936309001438
15,407,286,6.189055335999001
16,423,264,6.05534991499735
17,316,267,5.59039318899886
18,368,288,5.908755332999135
19,412,276,5.815704779997759
20,327,277,6.154870525999286
21,331,263,5.867368638999324
22,336,274,5.940222645000176
23,379,285,5.823016757000005
24,368,267,5.622441119001451
25,419,279,6.148401919999742
26,377,280,5.902199869000469
27,366,264,5.643130022002879
28,327,265,5.577988453998842
29,401,280,5.519335482997121
