# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 0.6, log = 2, nruns = 30, re-insertion = True
# Best result: 2453, duration = 274.1082211569992 BC
# avg: 2472.2, avg duration = 252.11430443513308
# iteration No., bc value, bdc value, duration
0,2480,2670,245.51643642099953
1,2479,2676,298.78083047999826
2,2476,2685,305.78722371299955
3,2467,2653,274.26691583499996
4,2476,2678,305.48786994499824
5,2486,2631,300.6312051340028
6,2463,2653,293.794088876999
7,2467,2685,284.52426948500215
8,2462,2692,229.27644089399837
9,2499,2687,235.09149859000172
10,2476,2663,244.33784122099678
11,2457,2685,272.030417836002
12,2486,2648,277.82949968699904
13,2453,2706,274.1082211569992
14,2463,2678,275.0381529539991
15,2484,2637,277.4278741179987
16,2490,2688,269.62450392699975
17,2484,2683,246.8975560479994
18,2475,2639,237.77601830099957
19,2469,2665,236.7653452520026
20,2485,2660,269.6837867590002
21,2455,2656,258.9651289059984
22,2461,2667,275.5041255239994
23,2456,2644,270.4202920129974
24,2463,2668,212.64978425299705
25,2481,2642,209.2752502000003
26,2465,2644,199.61508673999924
27,2466,2669,178.1268198300022
28,2467,2649,154.90906516000177
29,2475,2682,149.28758379400097
