# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.2, gamma = 2, nruns = 30, re-insertion = True
# Best result: 125, duration = 16.364555534997635 # avg: 130.03333333333333, avg duration = 16.429556241033666
# run No., objective function value, duration
0,128,16.515168964000623
1,128,19.963523540001916
2,130,18.76719366799807
3,131,18.18200452000019
4,128,15.82283355600157
5,134,17.925135077999585
6,128,18.83818213700215
7,131,14.665696566000406
8,130,16.506804689001
9,132,18.8642385130006
10,131,15.381048711999028
11,131,17.486327416001586
12,127,17.841099132001546
13,132,17.555437959999836
14,127,15.756702687998768
15,128,18.53544979599974
16,131,15.44440503199803
17,133,15.804828557000292
18,129,20.116298270000698
19,131,18.96076741900106
20,131,18.680104611001298
21,130,17.562685999000678
22,125,16.364555534997635
23,130,16.651155457999266
24,129,14.806456619000528
25,132,14.148085918001016
26,129,12.049764444000175
27,130,11.8520101360009
28,131,11.323128783002176
29,134,10.515593514999637
