# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.6, gamma = 2, nruns = 30, re-insertion = True
# Best result: 268, duration = 18.14348242000051 # avg: 289.1333333333333, avg duration = 18.178092832033386
# run No., objective function value, duration
0,283,19.450897948998318
1,278,20.16080361600325
2,295,19.218161920998682
3,273,21.23650398200334
4,271,17.56838349499958
5,280,18.468656083001406
6,288,19.103407972997957
7,276,20.062386768997385
8,270,17.70633466500294
9,271,20.65400021499954
10,277,19.28697997999916
11,269,17.248687945997517
12,338,19.704680410002766
13,276,20.053493605002586
14,275,18.22553056000106
15,268,18.14348242000051
16,327,18.457665565001662
17,303,18.450536763000855
18,276,19.33174287499787
19,280,17.16996775000007
20,278,19.121757528999296
21,285,20.09740543800217
22,305,20.45001161699838
23,332,18.98094188200048
24,273,15.731282033000753
25,280,15.042377947000205
26,318,15.410729420997086
27,291,14.019760374998441
28,325,13.77900848200079
29,313,13.007205694997538
