# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.4, gamma = 2, nruns = 30, re-insertion = True
# Best result: 124, duration = 11.82833369200307 # avg: 131.4, avg duration = 11.404658823700448
# run No., objective function value, duration
0,124,11.82833369200307
1,130,12.902318879001541
2,135,11.823800466001558
3,135,12.033642039001279
4,129,12.033520316999784
5,130,12.079586128998926
6,129,12.379808623998542
7,132,12.82054443999732
8,135,11.189285185999324
9,133,12.383372317999601
10,131,12.570713957000407
11,132,11.253905184003088
12,135,12.382056455000566
13,134,11.825345593002567
14,129,12.039276190000237
15,130,12.739622807999694
16,132,11.433360020997497
17,131,11.699052861000382
18,131,11.359693343001709
19,129,12.042914844005281
20,127,11.613584910002828
21,134,11.839308352999069
22,135,12.059497369002202
23,130,11.244773455997347
24,135,9.593959612000617
25,133,9.45275086699985
26,128,9.158891562001372
27,133,8.922177207998175
28,129,8.855252526002005
29,132,8.579415501997573
