# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 0.8, log = 2, nruns = 30, re-insertion = True
# Best result: 2449, duration = 231.57551394000257 BC
# avg: 2471.4333333333334, avg duration = 204.01585712983325
# iteration No., bc value, bdc value, duration
0,2456,2687,247.44232758699945
1,2467,2685,244.5548490580004
2,2480,2719,249.74802136600192
3,2478,2651,245.30128426100055
4,2487,2680,249.8922078249998
5,2457,2688,248.1995527049985
6,2449,2687,231.57551394000257
7,2478,2710,229.4059547910001
8,2472,2684,182.6388270159987
9,2505,2696,191.76649374399858
10,2463,2692,198.20605174999946
11,2470,2646,212.46912705000068
12,2483,2669,227.54528235899852
13,2466,2704,222.45538057299927
14,2467,2724,228.02033950500117
15,2463,2668,222.63936954999735
16,2470,2688,193.5521579410015
17,2478,2670,197.8086396430008
18,2464,2680,189.01348128999962
19,2468,2732,189.85983754599874
20,2493,2683,195.22325361699768
21,2481,2690,214.91201028900105
22,2474,2693,224.08972232100132
23,2450,2697,215.1064481689973
24,2477,2725,166.7721407680001
25,2465,2688,160.50609055899986
26,2482,2639,153.69364458100245
27,2476,2668,145.50182628499897
28,2464,2682,128.5745665780014
29,2460,2688,114.0013112279994
