# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 0.2, log = 2, nruns = 30, re-insertion = True
# Best result: 2453, duration = 653.957897929 BC
# avg: 2478.8333333333335, avg duration = 599.1206997994001
# iteration No., bc value, bdc value, duration
0,2457,2611,676.1071461440001
1,2460,2644,672.8645596889996
2,2469,2599,639.2937121300001
3,2489,2585,672.451938741
4,2453,2605,653.957897929
5,2473,2609,668.006296257
6,2465,2598,664.591587975
7,2480,2600,669.444923734
8,2499,2627,526.6776329640002
9,2488,2621,609.862914368
10,2474,2604,663.2292379199998
11,2497,2579,670.837196425
12,2486,2599,680.062472997
13,2491,2598,675.1574966210001
14,2493,2587,632.7020155169998
15,2475,2599,632.712433965
16,2473,2624,555.1718726350005
17,2473,2575,525.1845791989999
18,2469,2616,629.9413304420004
19,2508,2591,616.3921103969997
20,2494,2595,684.3824646840003
21,2471,2595,657.7487985410003
22,2485,2606,663.8865303029997
23,2474,2627,665.0608504099996
24,2460,2623,526.8591699389999
25,2471,2590,479.74458822499946
26,2491,2585,412.4920488550006
27,2485,2586,408.4611260010006
28,2470,2621,371.74892843199996
29,2492,2600,368.5871325429998
